0,0,6,200
0,400,6,200
600,0,6,250
600,350,6,250
0,200,63,50
0,355,63,50
60,450,35,12
83,450,12,35
540,200,63,50
540,350,63,50
510,450,35,12
510,450,12,35
0,0,600,6
0,600,606,6
295,0,10,66
305,0,10,66
60,55,40,12
60,65,40,6
60,115,40,12
60,125,40,6
180,55,40,12
180,65,40,6
241,242,40,2
325,242,40,2
241,305,125,2
241,242,2,63
364,242,2,63
390,55,40,12
390,65,40,6
510,55,40,12
510,65,40,6
510,115,40,12
510,125,40,6
235,115,140,12
235,125,140,6
295,120,20,66
295,130,20,66
235,330,140,12
235,335,140,12
295,330,20,66
295,335,20,66
410,425,40,12
410,435,40,6
145,425,40,12
145,435,40,6
440,155,20,120
410,190,50,12
410,200,50,6
145,155,20,120
145,200,50,20
454,330,10,40
146,330,10,40
235,472,140,12
235,477,140,12
295,472,20,66
295,477,20,66
360,540,130,12
454,500,10,40
120,540,130,12
150,500,10,40
