90,120,30,30
240,30,30,30
120,120,30,30
240,60,30,30
490,30,30,30
400,90,30,30
210,242,30,30
150,242,30,30
400,302,30,30
430,242,30,30
150,380,30,30
210,380,30,30
150,380,30,30
540,480,30,30
300,570,30,30
330,540,30,30
210,120,40,15
210,30,40,15
360,30,40,15
90,60,40,15
400,150,40,15
520,30,40,15
90,272,40,15
60,302,40,15
460,242,40,15
460,302,40,15
180,410,40,15
180,410,40,15
210,410,40,15
570,510,40,15
360,480,40,15
420,540,40,15
0,0,6,200
0,400,6,200
600,0,6,250
600,350,6,250
0,200,63,50
0,355,63,50
0,0,600,6
0,600,606,6
241,242,40,2
325,242,40,2
241,305,125,2
241,242,2,63
364,242,2,63
540,200,63,50
540,350,63,50
