270,60,30,30
300,60,30,30
330,90,30,30
30,90,30,30
370,120,30,30
460,120,30,30
150,302,30,30
210,272,30,30
370,302,30,30
490,302,30,30
150,380,30,30
210,410,30,30
150,380,30,30
570,540,30,30
390,570,30,30
450,540,30,30
330,120,40,15
180,60,40,15
270,90,40,15
120,60,40,15
370,150,40,15
430,150,40,15
210,272,40,15
60,302,40,15
400,302,40,15
400,302,40,15
120,380,40,15
150,380,40,15
60,380,40,15
420,540,40,15
420,480,40,15
300,510,40,15
0,0,6,200
0,400,6,200
600,0,6,250
600,350,6,250
0,200,63,50
0,355,63,50
0,0,600,6
0,600,606,6
241,242,40,2
325,242,40,2
241,305,125,2
241,242,2,63
364,242,2,63
540,200,63,50
540,350,63,50
