120,30,30,30
240,120,30,30
240,120,30,30
90,90,30,30
370,120,30,30
520,150,30,30
150,272,30,30
60,302,30,30
430,272,30,30
370,302,30,30
240,380,30,30
180,410,30,30
240,410,30,30
540,480,30,30
450,450,30,30
450,480,30,30
240,30,40,15
60,120,40,15
210,60,40,15
60,120,40,15
370,120,40,15
370,150,40,15
90,302,40,15
150,272,40,15
370,242,40,15
370,272,40,15
240,410,40,15
180,380,40,15
90,410,40,15
300,570,40,15
450,540,40,15
300,450,40,15
0,0,6,200
0,400,6,200
600,0,6,250
600,350,6,250
0,200,63,50
0,355,63,50
0,0,600,6
0,600,606,6
241,242,40,2
325,242,40,2
241,305,125,2
241,242,2,63
364,242,2,63
540,200,63,50
540,350,63,50
