300,30,30,30
210,90,30,30
30,90,30,30
30,120,30,30
430,60,30,30
550,90,30,30
150,302,30,30
60,272,30,30
430,272,30,30
370,302,30,30
60,410,30,30
150,410,30,30
120,410,30,30
390,450,30,30
420,480,30,30
450,480,30,30
360,30,40,15
180,60,40,15
30,30,40,15
300,120,40,15
490,60,40,15
430,150,40,15
60,302,40,15
60,302,40,15
370,272,40,15
490,242,40,15
150,380,40,15
210,410,40,15
120,380,40,15
330,450,40,15
480,480,40,15
570,570,40,15
0,0,6,200
0,400,6,200
600,0,6,250
600,350,6,250
0,200,63,50
0,355,63,50
0,0,600,6
0,600,606,6
241,242,40,2
325,242,40,2
241,305,125,2
241,242,2,63
364,242,2,63
540,200,63,50
540,350,63,50
