150,120,30,30
120,60,30,30
360,30,30,30
330,30,30,30
550,150,30,30
490,90,30,30
210,302,30,30
210,302,30,30
460,272,30,30
460,272,30,30
150,410,30,30
120,380,30,30
150,380,30,30
300,540,30,30
300,510,30,30
360,570,30,30
150,120,40,15
30,120,40,15
180,60,40,15
210,30,40,15
550,30,40,15
490,30,40,15
60,302,40,15
180,272,40,15
490,242,40,15
490,272,40,15
150,410,40,15
30,410,40,15
120,380,40,15
450,540,40,15
540,510,40,15
540,540,40,15
0,0,6,200
0,400,6,200
600,0,6,250
600,350,6,250
0,200,63,50
0,355,63,50
0,0,600,6
0,600,606,6
241,242,40,2
325,242,40,2
241,305,125,2
241,242,2,63
364,242,2,63
540,200,63,50
540,350,63,50
