180,60,30,30
330,60,30,30
180,30,30,30
360,30,30,30
520,90,30,30
460,30,30,30
120,272,30,30
90,302,30,30
430,272,30,30
490,302,30,30
180,410,30,30
180,380,30,30
150,380,30,30
420,570,30,30
450,510,30,30
300,450,30,30
360,30,40,15
120,90,40,15
60,90,40,15
240,30,40,15
430,30,40,15
520,120,40,15
150,302,40,15
210,302,40,15
400,242,40,15
400,302,40,15
180,410,40,15
150,410,40,15
30,410,40,15
540,570,40,15
510,510,40,15
450,450,40,15
0,0,6,200
0,400,6,200
600,0,6,250
600,350,6,250
0,200,63,50
0,355,63,50
0,0,600,6
0,600,606,6
241,242,40,2
325,242,40,2
241,305,125,2
241,242,2,63
364,242,2,63
540,200,63,50
540,350,63,50
